month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
July,1983,35,3,22,34,65,108,17.97017751,0.647058824,0
August,1983,34,3,24,34,63,100,17.71227009,0.705882353,0
September,1983,34,4,23,34,65,105,17.47100592,0.676470588,1
October,1983,34,3,24,35,68,118,17.93987889,0.685714286,0
November,1983,34,3,22,34,68,112,17.02768166,0.647058824,0
December,1983,35,3,23,33,66,100,16.13865932,0.696969697,0
January,1984,35,4,22,34,68,115,17.48378028,0.647058824,0
February,1984,36,4,25,35,69,120,17.7189666,0.714285714,0
March,1984,37,5,24,35,67,118,18.47939407,0.685714286,0
April,1984,34,2,22,32,65,108,17.97017751,0.6875,0
May,1984,36,5,23,32,65,107,17.80378698,0.71875,0
June,1984,36,4,22,34,67,110,17.2265538,0.647058824,0
July,1984,35,3,23,34,67,116,18.16618401,0.676470588,0
August,1984,36,2,24,36,68.5,115,17.22947413,0.666666667,0
September,1984,36,4,25,35,63,105,18.5978836,0.714285714,0
October,1984,35,3,21,34,65,102,16.97183432,0.617647059,0
November,1984,40,6,25,36,68,125,19.004109,0.694444444,0
December,1984,37,5,23,35,67,118,18.47939407,0.657142857,1
January,1985,36,3,24,35,68,118,17.93987889,0.685714286,0
February,1985,34,3,23,34,69,117,17.27599244,0.676470588,0
March,1985,37,3,24,35,67,105,16.44352863,0.685714286,0
April,1985,34,4,23,34,67,114,17.85297394,0.676470588,0
May,1985,35,3,24,35,69,122,18.01428271,0.685714286,1
June,1985,34,3,22,34,67,110,17.2265538,0.647058824,0
July,1985,36,3,22,32,67,112,17.53976387,0.6875,0
August,1985,37.5,5,24,35,67,123,19.26241925,0.685714286,0
September,1985,34,3,24,34,65,105,17.47100592,0.705882353,0
October,1985,36,3,25,36,68.5,125,18.72768927,0.694444444,0
November,1985,36,3,24,35,65,110,18.30295858,0.685714286,0
December,1985,35,3,23.5,35,67,118,18.47939407,0.671428571,0
January,1986,36,3,22,34,65,104,17.30461538,0.647058824,0
February,1986,36,4,24,35,67,115,18.00957897,0.685714286,0
March,1986,35,3,23,35,66,118,19.043618,0.657142857,0
April,1986,34,2,21,34,67,108,16.91334373,0.617647059,0
May,1986,34,4,24,34,66,107,17.26836547,0.705882353,0
June,1986,34,3,24,34,65,105,17.47100592,0.705882353,0
July,1986,35,3,24,35,66.5,110,17.48657358,0.685714286,0
August,1986,36,4,24,34,67,114,17.85297394,0.705882353,0
